Practicum,The part of a course consisting of practical work in a particular field.,Dictionary.com,Use your Summers 
Private Loan,"Funds that you pay back over time, from a private lender such as a bank or other financial institution.",,Pay for College 
Registrar,"Office at college that handles all student records, including transcripts, declared majors, and enrollment verification.",,Apply / Use your Summers
Rolling Admission,"Admissions system in which a college reviews applications as they are received in complete form. The college may have no deadline, or the deadline may be during the summer before the school year starts. It accepts or rejects applications as they are received until the college has no more spaces available.",,Apply 
Scholastic Apptitude Test (SAT),"Exam offered nationally, used by colleges as a tool to evaluate studentsﾒ applications. It is administered by the College Board. Community colleges (and some Bachelor's Degree granting colleges) may not require the SAT.See the College Board Web site: (www.collegeboard.org) for more information.",,Apply 
SAT II Subject Test,"College admissions tests, part of the College Board SAT program (see above). Each test is an hour long with multiple-choice questions on one academic subject area, for example Biology, Spanish, or American History. Only a small number of colleges require students to take SAT II Subject Tests as part of the college application. See the College Board Web site: (<a href=”http://www.collegeboard.org”>www.collegeboard.org</a>) for more information.",,
Scholarship,"Money awarded to a student to help pay college costs. Scholarships are not usually paid back. Depending on the scholarship, which can come from many sources, the award could be renewable for each year you are in college. Most scholarships require that you keep your grade point average above a certain level.",,Pay for College 
Secondary School Report,"Document or set of documents requested by the college from your high school(s). It usually consists of your high school transcript, sometimes it includes a form for the high school counselor to complete.",,Apply 
Stafford Loan,"Federal, fixed-rate, low-interest loan available to undergraduate students attending accredited schools at least half-time. These are the most common source of college loan funds, and may be subsidized or unsubsidized.",,Pay for College 
Student Aid Report (SAR),Summarizes the information you report on your FAFSA.,,Pay for College 
Study Abroad,An academically focused time overseas during which at least 1 academic credit is earned. ,umabroad.umn.edu/programs/programdefinitions.php,Succeed in Your College
Subsidized Loan,"Loan based on financial need, where recipients generally donﾒt have to pay any interest until six months after they graduate from college. ",,Pay for College 
 Summer Bridge ,,,
Summer Immersion,A program that integrates lecture based instruction with experiential and applied activities that takes place in the summer.,,Use your Summers 
Supplemental Action,"Additional form(s) required of students applying to some colleges. For example, students use the same general application for all SUNY colleges; but some campuses require additional or supplemental applications. Some supplemental applications include essay questions or letters of recommendation.",,Apply 
Supplemental Material,"Documents or other material students include with their college applications that may or may not be required by a college. Some examples are letters from coaches, extracurricular teachers, employers, or mentors; essays; term paper written in high school. ",,Apply 
Tuition Assistance Program (TAP),"Administered by the Higher Education Services Corporation (HESC) of New York State, TAP is a grant to help pay college costs for residents of New York State who attend a college in the state. Eligibility for TAP is based on a familyﾒs financial situation.",,Pay for College 
The Common Application,A college admission application ﾖ online and in print ﾖ that students may submit to any of its 456 college or universities  ,https://www.commonapp.org/CommonApp/FAQ.aspx,Apply 
Transcripts,"Document listing all of a studentﾒs classes and grades at a school. Colleges generally require copies of a high school transcript when students apply for admission, even if they have a GED.",,Apply 
Tuition,Amount of money a college charges for the instructional part of your college attendance. Tuition is one part of the total cost of attendance (COA).,,Pay for College 
Undocumented student,Students born abroad who are not U.S. citizens or legal residents.,http://professionals.collegeboard.com/guidance/financial-aid/undocumented-students,Pay for College 
Unsubsidized Student Loans,"A loan that is not based on need, and for which recipients begin paying interest as soon as they receive the loan.",,Pay for College 
Waitlist,"When a college does not accept or reject you, but puts your name on a list, in order to see how many students choose to attend that college. If the college has openings before the school year starts, it will accept students from the waitlist.",,Apply 
Withdrawal,"Official process of dropping a course or leaving a college. If you need to remove yourself from school, even temporarily, you must do the required paperwork at the college, or you will still be considered enrolled. Failure to withdraw officially could cause you to fail classes you did not attend or be charged tuition for a semester you did not complete.",,Succeed In College 
Work Study,"A federal financial aid program that provides part-time jobs on campus to eligible students so they can earn money to help pay their college costs. Not all jobs on campus are federal Work- Study (FWS) jobs, but FWS jobs are found in all parts of the college including the cafeterias, library, or financial aid office.",,Succeed In College / Pay For Colllege / Use your Summers 
